date,open_interest,lev_money_net,lev_money_cot_index,asset_mgr_net,asset_mgr_cot_index,dealer_net,dealer_cot_index
2012-02-07,385405,105539,100.0,68541,89.24882525535529,-181860,1.6147291120466472
2012-02-14,437643,106067,100.0,99326,100.0,-211555,0.0
2012-02-21,462415,153781,100.0,114066,100.0,-260289,0.0
2012-02-28,481256,161075,100.0,120053,100.0,-272670,0.0
2012-03-06,480559,159551,99.39381403933048,117106,98.83880373537176,-266211,1.653415112403557
2012-03-13,587569,191522,100.0,114958,97.99243469009812,-287997,0.0
2012-03-20,441701,140043,81.73564421422363,119203,99.66507742621853,-233228,13.490798649171252
2012-03-27,435674,131246,78.61453584289795,123644,100.0,-220052,16.73633468235572
2012-04-03,447118,146852,84.15142537829735,122340,99.49335809558593,-228973,14.538897907003667
2012-04-10,449201,138007,81.01328697379859,121334,99.1024978533769,-224381,15.670007611343612
2012-04-17,440192,139647,81.59514644054568,120868,98.92144330778108,-231152,14.002162705401592
2012-04-24,416133,116012,73.20962906458995,122178,99.43041638660196,-217609,17.338098839085358
2012-05-01,409777,91779,64.6119458586862,126464,100.0,-194826,22.950048402233648
2012-05-08,417971,69415,56.67736956945948,108612,93.13915011856218,-153658,33.09062425333704
2012-05-15,405222,79704,60.32782813858189,97157,88.73678425524882,-157828,32.0634623484813
2012-05-22,395117,69481,56.70078586507247,91753,86.6599282862095,-133092,38.15647838649368
2012-05-29,379569,55157,51.61874013233755,82395,83.06347784981611,-112645,43.193020225482975
2012-06-05,382912,47887,49.03939969133065,84455,83.85517350048616,-105339,44.99264729427819
2012-06-12,462707,41336,46.715154955562255,106992,92.51655450978282,-122615,40.737191882218774
2012-06-19,329850,44317,47.77279097408242,126481,100.0,-184341,25.532732472356535
2012-06-26,339283,42017,46.95676855120541,130513,100.0,-183366,25.772896227088992
2012-07-03,353795,65405,55.25465221479129,129500,99.6166508987701,-208931,19.475679417104093
2012-07-10,348944,53631,51.077326994376534,139103,100.0,-200885,21.457584617696252
2012-07-17,339460,50798,50.07220024480673,129680,96.54632751795924,-191816,23.691477019407696
2012-07-24,352606,56384,52.05407035532454,133587,97.97830230171529,-192334,23.563882327149834
2012-07-31,368502,72394,57.734296003264085,128468,96.10211112740068,-208097,19.68111179807524
2012-08-07,392754,92524,64.87626616522681,128691,96.18384401114206,-226189,15.22465779743973
2012-08-14,409963,98284,66.91987014599705,134372,98.26601671309191,-239461,11.955474871481602
2012-08-21,439683,132361,79.0101293218144,142897,100.0,-271377,4.093868311439431
2012-08-28,460255,146956,84.18832378350571,152712,100.0,-289207,0.0
2012-09-04,460702,154016,86.69315782938035,149912,99.0225136062615,-291671,0.0
2012-09-11,464897,151347,85.74621702648525,149701,98.94885302444763,-297391,0.0
2012-09-18,597830,136620,80.52118997356797,156852,100.0,-286856,2.536311262088707
2012-09-25,410237,126256,76.8441219776126,140513,94.37728200310403,-284952,2.99470107158248
2012-10-02,412593,117499,73.73720530059784,133247,91.87684323907649,-267524,7.190508634532835
2012-10-09,398792,95155,65.80972485852655,129462,90.57431630240649,-238506,14.176619712206314
