date,building_permits_k,housing_starts_k,months_supply_new
2005-05-01,2085,2025,4.2
2005-06-01,2178,2068,4.3
2005-07-01,2203,2054,4.2
2005-08-01,2219,2095,4.5
2005-09-01,2263,2151,4.7
2005-10-01,2170,2065,4.5
2005-11-01,2218,2147,5
2005-12-01,2120,1994,4.9
2006-01-01,2212,2273,5.3
2006-02-01,2141,2119,6.1
2006-03-01,2118,1969,5.9
2006-04-01,1998,1821,6.3
2006-05-01,1905,1942,6.2
2006-06-01,1867,1802,6.3
2006-07-01,1763,1737,7.3
2006-08-01,1722,1650,6.7
2006-09-01,1655,1720,6.7
2006-10-01,1570,1491,7.3
2006-11-01,1535,1570,6.6
2006-12-01,1638,1649,6.5
2007-01-01,1626,1409,7.2
2007-02-01,1598,1480,7.9
2007-03-01,1596,1495,7.9
2007-04-01,1470,1490,7.4
2007-05-01,1493,1415,7.8
2007-06-01,1407,1448,8.2
2007-07-01,1361,1354,8.3
2007-08-01,1321,1330,9.2
2007-09-01,1261,1183,9.2
2007-10-01,1192,1264,8.5
2007-11-01,1224,1197,9.4
2007-12-01,1149,1037,9.6
2008-01-01,1094,1084,9.3
2008-02-01,1014,1103,9.7
2008-03-01,967,1005,10.5
2008-04-01,1008,1013,10.3
2008-05-01,995,973,10.7
2008-06-01,1180,1046,10.7
2008-07-01,921,923,10.5
2008-08-01,858,844,11.3
2008-09-01,797,820,10.9
2008-10-01,736,777,11.6
2008-11-01,626,652,11.4
2008-12-01,554,560,11.2
2009-01-01,545,490,12.2
2009-02-01,558,582,10.5
2009-03-01,513,505,11
2009-04-01,521,478,10.7
2009-05-01,556,540,9.3
2009-06-01,601,585,8.5
2009-07-01,595,594,7.9
2009-08-01,616,586,7.5
2009-09-01,609,585,7.8
2009-10-01,583,534,7.4
2009-11-01,623,588,7.6
2009-12-01,664,581,8
2010-01-01,636,614,8.1
2010-02-01,650,604,8.3
2010-03-01,687,636,7.1
2010-04-01,637,687,6.2
2010-05-01,575,583,9.3
2010-06-01,587,536,8.3
2010-07-01,579,546,8.9
2010-08-01,580,599,8.8
2010-09-01,563,594,7.6
2010-10-01,558,543,8.2
2010-11-01,560,545,8.2
2010-12-01,632,539,7
2011-01-01,576,630,7.3
2011-02-01,542,517,8.1
2011-03-01,583,600,7.2
2011-04-01,581,554,6.7
2011-05-01,618,561,6.6
2011-06-01,636,608,6.6
2011-07-01,621,623,6.7
2011-08-01,647,585,6.5
2011-09-01,610,650,6.3
2011-10-01,671,610,6
2011-11-01,706,711,5.7
2011-12-01,697,694,5.3
2012-01-01,712,723,5.3
2012-02-01,738,704,4.8
2012-03-01,806,695,4.9
2012-04-01,732,753,4.9
2012-05-01,796,708,4.7
2012-06-01,794,757,4.8
2012-07-01,849,740,4.6
2012-08-01,840,754,4.6
2012-09-01,930,847,4.5
2012-10-01,887,915,4.9
2012-11-01,917,833,4.6
2012-12-01,941,976,4.5
2013-01-01,940,888,4
2013-02-01,980,962,4.1
2013-03-01,936,1010,4.2
2013-04-01,1012,835,4.4
2013-05-01,1003,930,4.6
2013-06-01,942,839,4.1
2013-07-01,997,880,5.5
2013-08-01,964,917,5.5
2013-09-01,1004,850,5.4
2013-10-01,1044,925,4.9
2013-11-01,1029,1100,5
2013-12-01,1005,1002,5.2
2014-01-01,976,888,5.1
2014-02-01,1039,944,5.3
2014-03-01,1067,970,5.6
2014-04-01,1090,1043,5.7
2014-05-01,1018,1007,5.2
2014-06-01,1010,911,5.7
2014-07-01,1076,1085,6.2
2014-08-01,1047,984,5.4
2014-09-01,1077,1023,5.4
2014-10-01,1094,1074,5.3
2014-11-01,1059,1001,5.7
2014-12-01,1072,1073,5.1
2015-01-01,1049,1085,4.8
2015-02-01,1127,886,4.5
2015-03-01,1072,960,5.1
2015-04-01,1166,1190,4.9
2015-05-01,1272,1079,5
2015-06-01,1379,1205,5.4
2015-07-01,1140,1146,5.2
2015-08-01,1165,1130,5
2015-09-01,1144,1224,5.9
2015-10-01,1160,1058,5.6
2015-11-01,1244,1172,5.5
2015-12-01,1211,1146,5.1
2016-01-01,1171,1092,5.6
2016-02-01,1172,1225,5.5
2016-03-01,1118,1111,5.5
2016-04-01,1160,1163,5
2016-05-01,1205,1148,5.1
2016-06-01,1208,1203,5.3
2016-07-01,1198,1239,4.5
2016-08-01,1201,1171,5
2016-09-01,1303,1068,5.2
2016-10-01,1254,1313,5.2
2016-11-01,1230,1140,5.2
2016-12-01,1248,1252,5.4
2017-01-01,1303,1190,5.4
2017-02-01,1234,1271,5.3
2017-03-01,1272,1190,5
2017-04-01,1251,1146,5.4
2017-05-01,1208,1157,5.1
2017-06-01,1353,1249,5.3
2017-07-01,1256,1206,5.8
2017-08-01,1319,1159,6.1
2017-09-01,1273,1181,5.3
2017-10-01,1356,1257,5.5
2017-11-01,1299,1273,4.8
2017-12-01,1311,1177,5.6
2018-01-01,1317,1299,6
2018-02-01,1321,1277,5.7
2018-03-01,1385,1318,5.2
2018-04-01,1378,1276,5.6
2018-05-01,1338,1357,5.5
2018-06-01,1345,1192,5.8
2018-07-01,1334,1208,6
2018-08-01,1273,1288,6.5
2018-09-01,1314,1250,6.6
2018-10-01,1272,1221,7.2
2018-11-01,1340,1181,6.4
2018-12-01,1317,1095,7.6
2019-01-01,1254,1226,7
2019-02-01,1286,1121,6.3
2019-03-01,1295,1191,5.6
2019-04-01,1322,1272,5.7
2019-05-01,1347,1293,6.5
2019-06-01,1299,1243,5.4
2019-07-01,1379,1240,6.1
2019-08-01,1482,1375,5.5
2019-09-01,1469,1311,5.4
2019-10-01,1523,1325,5.3
2019-11-01,1535,1353,5.4
2019-12-01,1443,1548,5.5
2020-01-01,1490,1581,5.7
2020-02-01,1461,1549,5.6
2020-03-01,1351,1266,6.4
2020-04-01,1079,936,6.8
2020-05-01,1251,1039,5.3
2020-06-01,1333,1266,4
2020-07-01,1539,1526,3.5
2020-08-01,1534,1396,3.4
