date,bullish,neutral,bearish,bull_bear_spread
2002-03-07,53.33,31.11,15.55,37.78
2002-03-14,56.45,29.03,14.52,41.93
2002-03-21,53.23,35.48,11.29,41.94
2002-03-28,51.16,25.58,23.26,27.9
2002-04-04,40.48,39.29,20.24,20.24
2002-04-11,28.21,38.46,33.33,-5.12
2002-04-18,40.2,36.59,23.17,17.03
2002-04-25,36.67,40,23.33,13.34
2002-05-02,27.03,39.64,33.33,-6.3
2002-05-09,30.26,28.95,40.79,-10.53
2002-05-16,36.79,34.91,28.3,8.49
2002-05-23,26.19,33.33,40.48,-14.29
2002-05-29,28.26,31.52,40.22,-11.96
2002-06-06,32.79,27.87,39.34,-6.55
2002-06-13,31.82,34.55,33.64,-1.82
2002-06-20,45.71,28.57,25.71,20
2002-06-27,30.97,23.01,46.02,-15.05
2002-07-03,26.56,26.56,46.88,-20.32
2002-07-11,35.05,22.68,42.27,-7.22
2002-07-18,26.25,20,53.75,-27.5
2002-07-25,27.91,23.26,48.84,-20.93
2002-08-01,34.21,34.21,31.58,2.63
2002-08-08,37.7,22.95,39.34,-1.64
2002-08-15,37.93,20.69,41.38,-3.45
2002-08-22,43.75,16.67,39.58,4.17
2002-08-29,50,20.97,29.03,20.97
2002-09-05,31.48,18.52,50,-18.52
2002-09-12,38.36,24.66,36.99,1.37
2002-09-19,33.78,22.97,43.24,-9.46
2002-09-26,24.51,28.43,47.06,-22.55
2002-10-03,35.21,16.9,47.89,-12.68
2002-10-10,28.85,16.35,54.81,-25.96
2002-10-17,39.47,21.05,39.47,0
2002-10-24,44.58,21.69,33.73,10.85
2002-10-31,51.47,20.59,27.94,23.53
2002-11-07,50,23.68,26.32,23.68
2002-11-14,48.65,18.92,32.43,16.22
2002-11-21,50.56,28.09,21.35,29.21
2002-11-28,51.06,17.02,31.91,19.15
2002-12-05,52.94,29.41,17.65,35.29
2002-12-12,41.38,34.48,24.14,17.24
2002-12-19,42.86,27.14,30,12.86
2002-12-26,40,28,32,8
2003-01-02,32.43,29.73,37.84,-5.41
2003-01-09,38.1,19.05,42.86,-4.76
2003-01-16,29.17,41.67,29.17,0
2003-01-23,25,31.82,43.18,-18.18
2003-01-30,25.53,26.6,47.87,-22.34
2003-02-06,22.86,51.43,25.71,-2.85
2003-02-13,21.9,40,38.1,-16.2
2003-02-20,21.05,21.05,57.89,-36.84
2003-02-27,26.02,26.83,47.15,-21.13
2003-03-06,33.33,27.27,39.39,-6.06
2003-03-13,34.29,14.29,51.43,-17.14
2003-03-20,42.86,19.05,38.1,4.76
2003-03-27,39.42,27.88,32.69,6.73
