date,total_pc,index_pc,etp_pc,equity_pc,call_volume,put_volume
2021-09-10,0.99,1.74,1.23,0.53,3628519.0,3584149.0
2021-09-13,0.91,1.46,1.23,0.46,3665396.0,3342532.0
2021-09-14,0.9,1.17,1.54,0.55,3255757.0,2930470.0
2021-09-15,0.85,1.21,1.04,0.49,3558533.0,3031638.0
2021-09-16,0.84,1.58,0.98,0.49,2906804.0,2450635.0
2021-09-17,0.92,1.69,1.05,0.56,4095752.0,3772461.0
2021-09-20,1.08,1.65,1.25,0.54,4201777.0,4530018.0
2021-09-21,0.89,1.69,1.03,0.44,2766489.0,2449066.0
2021-09-22,0.98,1.68,1.34,0.48,2937434.0,2865626.0
2021-09-23,0.79,1.39,0.86,0.43,3544535.0,2795252.0
2021-09-24,1.0,2.01,1.09,0.57,2945032.0,2945080.0
2021-09-27,0.82,2.14,0.74,0.43,3015443.0,2458823.0
2021-09-28,1.08,1.78,1.29,0.55,3218056.0,3480280.0
2021-09-29,0.93,1.48,1.28,0.51,2865825.0,2675793.0
2021-09-30,1.07,1.5,1.31,0.58,3307446.0,3549022.0
2021-10-01,0.94,1.36,1.1,0.56,3595158.0,3366095.0
2021-10-04,0.97,1.49,1.09,0.59,3107322.0,3026483.0
2021-10-05,0.86,1.47,1.13,0.45,2732311.0,2341481.0
2021-10-06,0.99,1.22,1.63,0.48,3222831.0,3205642.0
2021-10-07,0.95,1.63,1.26,0.52,2951652.0,2810348.0
2021-10-08,1.04,2.07,1.16,0.55,2955262.0,3063617.0
2021-10-11,0.97,1.75,1.31,0.5,2760033.0,2683868.0
2021-10-12,0.8,1.62,1.2,0.41,2620863.0,2099011.0
2021-10-13,0.89,1.53,1.22,0.48,3036362.0,2715149.0
2021-10-14,0.83,1.46,1.02,0.45,3491045.0,2910609.0
2021-10-15,0.86,1.5,1.27,0.48,4269813.0,3683187.0
2021-10-18,0.76,1.55,0.86,0.42,3684235.0,2804539.0
2021-10-19,0.76,1.44,0.97,0.4,3535022.0,2684519.0
2021-10-20,0.78,1.42,0.97,0.42,3389785.0,2634432.0
2021-10-21,0.74,1.58,0.97,0.44,2865471.0,2132489.0
2021-10-22,0.83,1.36,0.93,0.53,3575434.0,2979190.0
2021-10-25,0.71,1.38,0.95,0.41,3353272.0,2388187.0
2021-10-26,0.83,1.78,1.07,0.43,3565787.0,2964587.0
2021-10-27,0.85,1.53,1.14,0.51,3283218.0,2804191.0
